analysis_id,study_id,contrast_id,comparison_task,matched_task_names,analysis_name,study_name,authors,publication
x3C8cFysGiZY-vYCc5i3wk359,x3C8cFysGiZY,vYCc5i3wk359,flanker,Flanker Task,table1,Parametric manipulation of conflict and response competition using rapid mixed-trial event-related fMRI,S. Durston; M. Davidson; K. Thomas; M. Worden; N. Tottenham; N. Tottenham; Antígona Martínez; R. Watts; A. Uluğ; B. Casey,NeuroImage
yFAfSmmuCWfu-BKf6iovty4ia,yFAfSmmuCWfu,BKf6iovty4ia,flanker,Reward Flanker Task (RFT),Baseline PPE & Follow-Up CDRS-R (N = 32),Reward function as an outcome predictor in youth with mood and anxiety symptoms.,Qi Liu; Benjamin A. Ely; Joshua J Schwartz; C. Alonso; E. Stern; Vilma Gabbay,Journal of Affective Disorders
yFAfSmmuCWfu-EZ7Z9cenrLr7,yFAfSmmuCWfu,EZ7Z9cenrLr7,flanker,Reward Flanker Task (RFT),Baseline Reward Attainment & Follow-Up BSSI in Clinical Cohort (n = 22),Reward function as an outcome predictor in youth with mood and anxiety symptoms.,Qi Liu; Benjamin A. Ely; Joshua J Schwartz; C. Alonso; E. Stern; Vilma Gabbay,Journal of Affective Disorders
yFAfSmmuCWfu-YZCP3PXTMtFj,yFAfSmmuCWfu,YZCP3PXTMtFj,flanker,Reward Flanker Task (RFT),Baseline PPE & Follow-Up SHAPS in Clinical Cohort (n = 22),Reward function as an outcome predictor in youth with mood and anxiety symptoms.,Qi Liu; Benjamin A. Ely; Joshua J Schwartz; C. Alonso; E. Stern; Vilma Gabbay,Journal of Affective Disorders
yFAfSmmuCWfu-dFvug5eUXYyD,yFAfSmmuCWfu,dFvug5eUXYyD,flanker,Reward Flanker Task (RFT),Baseline PPE & Follow-Up SHAPS (N = 32),Reward function as an outcome predictor in youth with mood and anxiety symptoms.,Qi Liu; Benjamin A. Ely; Joshua J Schwartz; C. Alonso; E. Stern; Vilma Gabbay,Journal of Affective Disorders
z7iKwfbyWCF3-ZQxawJUtkNuR,z7iKwfbyWCF3,ZQxawJUtkNuR,flanker,Emotional Conflict Task | Cognitive Conflict Task (Flanker Task),ROIs defined as nodes of the network,Effects of contextualized emotional conflict control on domain-general conflict control: fMRI evidence of neural network reconfiguration,Tingting Guo; Xiyuan Wang; Junjie Wu; John W. Schwieter; Huanhuan Liu,Social Cognitive and Affective Neuroscience
2DMUS9MeRxqW-8yjf2zEWEJgv,2DMUS9MeRxqW,8yjf2zEWEJgv,n-back,One-Back Working Memory Task | Pavlovian Fear Conditioning,II. High > Low ϵ Prediction Regressor,Formal Learning Theory Dissociates Brain Regions with Different Temporal Integration,J. Gläscher; C. Büchel,Neuron
2DMUS9MeRxqW-XSvaHoFaRbV5,2DMUS9MeRxqW,XSvaHoFaRbV5,n-back,One-Back Working Memory Task | Pavlovian Fear Conditioning,II. Large > Small ϵ Prediction Regressor,Formal Learning Theory Dissociates Brain Regions with Different Temporal Integration,J. Gläscher; C. Büchel,Neuron
2DMUS9MeRxqW-YFRXFAAViuta,2DMUS9MeRxqW,YFRXFAAViuta,n-back,One-Back Working Memory Task | Pavlovian Fear Conditioning,I. Low > High ϵ Prediction Regressor,Formal Learning Theory Dissociates Brain Regions with Different Temporal Integration,J. Gläscher; C. Büchel,Neuron
2DMUS9MeRxqW-aDdJ79JxAMjv,2DMUS9MeRxqW,aDdJ79JxAMjv,n-back,One-Back Working Memory Task | Pavlovian Fear Conditioning,I. Small > Large ϵ Prediction Regressor,Formal Learning Theory Dissociates Brain Regions with Different Temporal Integration,J. Gläscher; C. Büchel,Neuron
2EbmXrALLcf5-ArwXrqTaz3Rv,2EbmXrALLcf5,ArwXrqTaz3Rv,n-back,n-back task,State 2,Aberrant Brain Dynamics in Schizophrenia During Working Memory Task: Evidence From a Replication Functional MRI Study.,Feiwen Wang; Zhening Liu; S. Ford; Mengjie Deng; Wen Zhang; Jie Yang; L. Palaniyappan,Schizophrenia bulletin
2EbmXrALLcf5-qiUTit7jKuNn,2EbmXrALLcf5,qiUTit7jKuNn,n-back,n-back task,State 1,Aberrant Brain Dynamics in Schizophrenia During Working Memory Task: Evidence From a Replication Functional MRI Study.,Feiwen Wang; Zhening Liu; S. Ford; Mengjie Deng; Wen Zhang; Jie Yang; L. Palaniyappan,Schizophrenia bulletin
2Hf9zPhpDwsu-DZxs4Ti3w58J,2Hf9zPhpDwsu,DZxs4Ti3w58J,n-back,n-back task,Sub-lobar,A coordinate-based meta-analysis of the n-back working memory paradigm using activation likelihood estimation,Hui Wang; Weijiang He; Jingting Wu; Junjun Zhang; Zhenlan Jin; Ling Li,Brain and Cognition
2Hf9zPhpDwsu-QCnAsaSvP24j,2Hf9zPhpDwsu,QCnAsaSvP24j,n-back,n-back task,Load: 2-back > 1-back,A coordinate-based meta-analysis of the n-back working memory paradigm using activation likelihood estimation,Hui Wang; Weijiang He; Jingting Wu; Junjun Zhang; Zhenlan Jin; Ling Li,Brain and Cognition
2Hf9zPhpDwsu-QvprjzFQGzxr,2Hf9zPhpDwsu,QvprjzFQGzxr,n-back,n-back task,Frontal,A coordinate-based meta-analysis of the n-back working memory paradigm using activation likelihood estimation,Hui Wang; Weijiang He; Jingting Wu; Junjun Zhang; Zhenlan Jin; Ling Li,Brain and Cognition
2Hf9zPhpDwsu-Wt9TVVCtPUUF,2Hf9zPhpDwsu,Wt9TVVCtPUUF,n-back,n-back task,Parietal,A coordinate-based meta-analysis of the n-back working memory paradigm using activation likelihood estimation,Hui Wang; Weijiang He; Jingting Wu; Junjun Zhang; Zhenlan Jin; Ling Li,Brain and Cognition
2Hf9zPhpDwsu-hn9hcXrE8nxi,2Hf9zPhpDwsu,hn9hcXrE8nxi,n-back,n-back task,Object: identity > location,A coordinate-based meta-analysis of the n-back working memory paradigm using activation likelihood estimation,Hui Wang; Weijiang He; Jingting Wu; Junjun Zhang; Zhenlan Jin; Ling Li,Brain and Cognition
2Hf9zPhpDwsu-kTiefGEUBGon,2Hf9zPhpDwsu,kTiefGEUBGon,n-back,n-back task,Occipital,A coordinate-based meta-analysis of the n-back working memory paradigm using activation likelihood estimation,Hui Wang; Weijiang He; Jingting Wu; Junjun Zhang; Zhenlan Jin; Ling Li,Brain and Cognition
2Hf9zPhpDwsu-m8wiXGkY2wMs,2Hf9zPhpDwsu,m8wiXGkY2wMs,n-back,n-back task,Posterior,A coordinate-based meta-analysis of the n-back working memory paradigm using activation likelihood estimation,Hui Wang; Weijiang He; Jingting Wu; Junjun Zhang; Zhenlan Jin; Ling Li,Brain and Cognition
2Hf9zPhpDwsu-sXSPW9FB8yQp,2Hf9zPhpDwsu,sXSPW9FB8yQp,n-back,n-back task,Age: younger > older,A coordinate-based meta-analysis of the n-back working memory paradigm using activation likelihood estimation,Hui Wang; Weijiang He; Jingting Wu; Junjun Zhang; Zhenlan Jin; Ling Li,Brain and Cognition
2UaRWocBM7tw-5A8SssMNERTv,2UaRWocBM7tw,5A8SssMNERTv,n-back,Visuospatial n-back task,Coordinates ROI,Compensatory Frontoparietal Activity During Working Memory: An Endophenotype of Obsessive-Compulsive Disorder,F. D. Vries; S. D. Wit; D. Cath; Y. D. Werf; Vionne van der Borden; Thomas B. van Rossum; A. Balkom; N. Wee; D. Veltman; O. V. D. Heuvel,Biological Psychiatry
2UaRWocBM7tw-7LHCoRosjyL4,2UaRWocBM7tw,7LHCoRosjyL4,n-back,Visuospatial n-back task,Precuneus,Compensatory Frontoparietal Activity During Working Memory: An Endophenotype of Obsessive-Compulsive Disorder,F. D. Vries; S. D. Wit; D. Cath; Y. D. Werf; Vionne van der Borden; Thomas B. van Rossum; A. Balkom; N. Wee; D. Veltman; O. V. D. Heuvel,Biological Psychiatry
2UaRWocBM7tw-8iMHKwCL95ex,2UaRWocBM7tw,8iMHKwCL95ex,n-back,Visuospatial n-back task,Dorsolateral Prefrontal Cortex,Compensatory Frontoparietal Activity During Working Memory: An Endophenotype of Obsessive-Compulsive Disorder,F. D. Vries; S. D. Wit; D. Cath; Y. D. Werf; Vionne van der Borden; Thomas B. van Rossum; A. Balkom; N. Wee; D. Veltman; O. V. D. Heuvel,Biological Psychiatry
2UaRWocBM7tw-9KRwgUJApbAN,2UaRWocBM7tw,9KRwgUJApbAN,n-back,Visuospatial n-back task,Inferior Parietal Cortex,Compensatory Frontoparietal Activity During Working Memory: An Endophenotype of Obsessive-Compulsive Disorder,F. D. Vries; S. D. Wit; D. Cath; Y. D. Werf; Vionne van der Borden; Thomas B. van Rossum; A. Balkom; N. Wee; D. Veltman; O. V. D. Heuvel,Biological Psychiatry
2UaRWocBM7tw-M8ReA57fWxNf,2UaRWocBM7tw,M8ReA57fWxNf,n-back,Visuospatial n-back task,Premotor Cortex/Presupplementary Motor Area,Compensatory Frontoparietal Activity During Working Memory: An Endophenotype of Obsessive-Compulsive Disorder,F. D. Vries; S. D. Wit; D. Cath; Y. D. Werf; Vionne van der Borden; Thomas B. van Rossum; A. Balkom; N. Wee; D. Veltman; O. V. D. Heuvel,Biological Psychiatry
2UaRWocBM7tw-S3eDe3Axeo3e,2UaRWocBM7tw,S3eDe3Axeo3e,n-back,Visuospatial n-back task,Coordinates Owen et al. 2005,Compensatory Frontoparietal Activity During Working Memory: An Endophenotype of Obsessive-Compulsive Disorder,F. D. Vries; S. D. Wit; D. Cath; Y. D. Werf; Vionne van der Borden; Thomas B. van Rossum; A. Balkom; N. Wee; D. Veltman; O. V. D. Heuvel,Biological Psychiatry
2UaRWocBM7tw-fFJmfDtfeWee,2UaRWocBM7tw,fFJmfDtfeWee,n-back,Visuospatial n-back task,Dorsal Anterior Cingulum,Compensatory Frontoparietal Activity During Working Memory: An Endophenotype of Obsessive-Compulsive Disorder,F. D. Vries; S. D. Wit; D. Cath; Y. D. Werf; Vionne van der Borden; Thomas B. van Rossum; A. Balkom; N. Wee; D. Veltman; O. V. D. Heuvel,Biological Psychiatry
2dcZGbfGZg7y-ALxUL6dEUTtY,2dcZGbfGZg7y,ALxUL6dEUTtY,n-back,n-back task | Counting Stroop task,"Table V. Regression analysis of the 0-back versus rest condition (n = 32a; multivariable regression analysis; Puncorrected < 0.001, k ≥ 20)",Postconcussion syndrome after minor head injury: Brain activation of working memory and attention,M. Smits; D. Dippel; G. Houston; P. Wielopolski; P. Koudstaal; M. Hunink; A. van der Lugt,Human Brain Mapping
2dcZGbfGZg7y-CUXR67VFaPQC,2dcZGbfGZg7y,CUXR67VFaPQC,n-back,n-back task | Counting Stroop task,"Table VII. Regression analysis of the 2-back versus 0-back condition (n = 32a; multivariable regression analysis; Puncorrected < 0.001, k 6gt; 20)",Postconcussion syndrome after minor head injury: Brain activation of working memory and attention,M. Smits; D. Dippel; G. Houston; P. Wielopolski; P. Koudstaal; M. Hunink; A. van der Lugt,Human Brain Mapping
2dcZGbfGZg7y-F7LnRQ9ey7Hr,2dcZGbfGZg7y,F7LnRQ9ey7Hr,n-back,n-back task | Counting Stroop task,"Table IX. Regression analysis of the 2-back versus 1-back condition (n = 32a; multivariable regression analysis; Puncorrected < 0.001, k ≥ 20)",Postconcussion syndrome after minor head injury: Brain activation of working memory and attention,M. Smits; D. Dippel; G. Houston; P. Wielopolski; P. Koudstaal; M. Hunink; A. van der Lugt,Human Brain Mapping
2dcZGbfGZg7y-H2EyPeSWQUwW,2dcZGbfGZg7y,H2EyPeSWQUwW,n-back,n-back task | Counting Stroop task,"Table VIII. Main effect of the 2-back versus 1-back condition (n = 32a; one-sample t-test; Pcorrected < 0.05, k 60 20)",Postconcussion syndrome after minor head injury: Brain activation of working memory and attention,M. Smits; D. Dippel; G. Houston; P. Wielopolski; P. Koudstaal; M. Hunink; A. van der Lugt,Human Brain Mapping
2dcZGbfGZg7y-JHqYLmTta76t,2dcZGbfGZg7y,JHqYLmTta76t,n-back,n-back task | Counting Stroop task,"Table VI. Main effect of the 2-back versus 0-back condition (n = 32a; one-sample t-test; Pcorrected < 0.05, k ≥ 20)",Postconcussion syndrome after minor head injury: Brain activation of working memory and attention,M. Smits; D. Dippel; G. Houston; P. Wielopolski; P. Koudstaal; M. Hunink; A. van der Lugt,Human Brain Mapping
2dcZGbfGZg7y-TXeGBQPXgNS8,2dcZGbfGZg7y,TXeGBQPXgNS8,n-back,n-back task | Counting Stroop task,"Table IV. Main effect of the 0-back versus rest condition (n = 32a; one-sample t-test; Pcorrected < 0.05, k ≥ 20)",Postconcussion syndrome after minor head injury: Brain activation of working memory and attention,M. Smits; D. Dippel; G. Houston; P. Wielopolski; P. Koudstaal; M. Hunink; A. van der Lugt,Human Brain Mapping
2dcZGbfGZg7y-VRdNLuWoSiK3,2dcZGbfGZg7y,VRdNLuWoSiK3,n-back,n-back task | Counting Stroop task,"Table XI. Regression analysis of Stroop interference versus neutral condition (n = 32a; multivariable regression analysis; Puncorrected < 0.001, k 6ge; 20)",Postconcussion syndrome after minor head injury: Brain activation of working memory and attention,M. Smits; D. Dippel; G. Houston; P. Wielopolski; P. Koudstaal; M. Hunink; A. van der Lugt,Human Brain Mapping
2dcZGbfGZg7y-mcxoKRBsgtcq,2dcZGbfGZg7y,mcxoKRBsgtcq,n-back,n-back task | Counting Stroop task,"Main effect of the Stroop interference versus neutral condition (n = 32a; one-sample t-test; Pcorrected < 0.05, k ≥ 20)",Postconcussion syndrome after minor head injury: Brain activation of working memory and attention,M. Smits; D. Dippel; G. Houston; P. Wielopolski; P. Koudstaal; M. Hunink; A. van der Lugt,Human Brain Mapping
2m7uahRa2EYT-2tB7C9KWmEjA,2m7uahRa2EYT,2tB7C9KWmEjA,n-back,Mental subtraction task | 2-back task,MP > HC,Methylphenidate modulates activity within cognitive neural networks of patients with post-stroke major depression: A placebo-controlled fMRI study,R. Ramasubbu; B. Goodyear,Neuropsychiatric Disease and Treatment
2m7uahRa2EYT-5RBPotBqs9Tr,2m7uahRa2EYT,5RBPotBqs9Tr,n-back,Mental subtraction task | 2-back task,MP (Day 3 > Day 1),Methylphenidate modulates activity within cognitive neural networks of patients with post-stroke major depression: A placebo-controlled fMRI study,R. Ramasubbu; B. Goodyear,Neuropsychiatric Disease and Treatment
2m7uahRa2EYT-5hZdGibCCj56,2m7uahRa2EYT,5hZdGibCCj56,n-back,Mental subtraction task | 2-back task,MP (Day 3 > Day1),Methylphenidate modulates activity within cognitive neural networks of patients with post-stroke major depression: A placebo-controlled fMRI study,R. Ramasubbu; B. Goodyear,Neuropsychiatric Disease and Treatment
2m7uahRa2EYT-NvjMkz2RBKSB,2m7uahRa2EYT,NvjMkz2RBKSB,n-back,Mental subtraction task | 2-back task,MP > HC-2,Methylphenidate modulates activity within cognitive neural networks of patients with post-stroke major depression: A placebo-controlled fMRI study,R. Ramasubbu; B. Goodyear,Neuropsychiatric Disease and Treatment
2m7uahRa2EYT-S3dLjAG22QDK,2m7uahRa2EYT,S3dLjAG22QDK,n-back,Mental subtraction task | 2-back task,HC > Placebo-2,Methylphenidate modulates activity within cognitive neural networks of patients with post-stroke major depression: A placebo-controlled fMRI study,R. Ramasubbu; B. Goodyear,Neuropsychiatric Disease and Treatment
2m7uahRa2EYT-StffUKJuPa25,2m7uahRa2EYT,StffUKJuPa25,n-back,Mental subtraction task | 2-back task,Placebo (Day 3 > Day 1)-2,Methylphenidate modulates activity within cognitive neural networks of patients with post-stroke major depression: A placebo-controlled fMRI study,R. Ramasubbu; B. Goodyear,Neuropsychiatric Disease and Treatment
2m7uahRa2EYT-VUkkFPU3YsQm,2m7uahRa2EYT,VUkkFPU3YsQm,n-back,Mental subtraction task | 2-back task,Placebo > MP,Methylphenidate modulates activity within cognitive neural networks of patients with post-stroke major depression: A placebo-controlled fMRI study,R. Ramasubbu; B. Goodyear,Neuropsychiatric Disease and Treatment
2m7uahRa2EYT-WF6ppe4CWsng,2m7uahRa2EYT,WF6ppe4CWsng,n-back,Mental subtraction task | 2-back task,MP > Placebo,Methylphenidate modulates activity within cognitive neural networks of patients with post-stroke major depression: A placebo-controlled fMRI study,R. Ramasubbu; B. Goodyear,Neuropsychiatric Disease and Treatment
2m7uahRa2EYT-Xum92DggU7SZ,2m7uahRa2EYT,Xum92DggU7SZ,n-back,Mental subtraction task | 2-back task,Placebo > HC,Methylphenidate modulates activity within cognitive neural networks of patients with post-stroke major depression: A placebo-controlled fMRI study,R. Ramasubbu; B. Goodyear,Neuropsychiatric Disease and Treatment
2m7uahRa2EYT-eedkBvwtYYXH,2m7uahRa2EYT,eedkBvwtYYXH,n-back,Mental subtraction task | 2-back task,Placebo (Day 1 > Day 3),Methylphenidate modulates activity within cognitive neural networks of patients with post-stroke major depression: A placebo-controlled fMRI study,R. Ramasubbu; B. Goodyear,Neuropsychiatric Disease and Treatment
2m7uahRa2EYT-gYkA9MFxvmHL,2m7uahRa2EYT,gYkA9MFxvmHL,n-back,Mental subtraction task | 2-back task,MP > Placebo-2,Methylphenidate modulates activity within cognitive neural networks of patients with post-stroke major depression: A placebo-controlled fMRI study,R. Ramasubbu; B. Goodyear,Neuropsychiatric Disease and Treatment
2m7uahRa2EYT-pctpsmp2XadG,2m7uahRa2EYT,pctpsmp2XadG,n-back,Mental subtraction task | 2-back task,Placebo (Day 3 > Day 1),Methylphenidate modulates activity within cognitive neural networks of patients with post-stroke major depression: A placebo-controlled fMRI study,R. Ramasubbu; B. Goodyear,Neuropsychiatric Disease and Treatment
2m7uahRa2EYT-xsbWq6KzgaHd,2m7uahRa2EYT,xsbWq6KzgaHd,n-back,Mental subtraction task | 2-back task,MP (Day1 > Day 3),Methylphenidate modulates activity within cognitive neural networks of patients with post-stroke major depression: A placebo-controlled fMRI study,R. Ramasubbu; B. Goodyear,Neuropsychiatric Disease and Treatment
2m7uahRa2EYT-z7YeJz3jvamB,2m7uahRa2EYT,z7YeJz3jvamB,n-back,Mental subtraction task | 2-back task,HC > Placebo,Methylphenidate modulates activity within cognitive neural networks of patients with post-stroke major depression: A placebo-controlled fMRI study,R. Ramasubbu; B. Goodyear,Neuropsychiatric Disease and Treatment
2nuxnH2tn9XK-H7dXn4fq5tQM,2nuxnH2tn9XK,H7dXn4fq5tQM,n-back,Food Rating Task | Multi-Source Interference Task (MSIT) | n-back Task,MSIT,Rested-Baseline Responsivity of the Ventral Striatum Is Associated With Caloric and Macronutrient Intake During One Night of Sleep Deprivation,B. Satterfield; A. Raikes; W. Killgore,Frontiers in Psychiatry
2nuxnH2tn9XK-W67mP3dNmdqC,2nuxnH2tn9XK,W67mP3dNmdqC,n-back,Food Rating Task | Multi-Source Interference Task (MSIT) | n-back Task,n-back,Rested-Baseline Responsivity of the Ventral Striatum Is Associated With Caloric and Macronutrient Intake During One Night of Sleep Deprivation,B. Satterfield; A. Raikes; W. Killgore,Frontiers in Psychiatry
2tUkhVm47ewx-QAhqJnreYi8y,2tUkhVm47ewx,QAhqJnreYi8y,n-back,N-back Task,fMRI regions showing functional activation during the N-back tasks.,Multi-compartment diffusion magnetic resonance imaging models link tract-related characteristics with working memory performance in healthy older adults,Christopher E. Bauer; Valentinos Zachariou; P. Maillard; A. Caprihan; B. Gold,Frontiers in Aging Neuroscience
2uqcheoNtC2d-XMuAenzXYCMq,2uqcheoNtC2d,XMuAenzXYCMq,n-back,n-back task,List of brain regions showing higher relative FDG uptake during a working memory task compared to a preceding resting state.,Working memory task induced neural activation: A simultaneous PET/fMRI study,I. Ripp; Lara A. Wallenwein; Qiong Wu; Mónica Emch; K. Koch; P. Cumming; I. Yakushev,NeuroImage
2vSyHAfnfW3Q-rbcZw6gAHhkt,2vSyHAfnfW3Q,rbcZw6gAHhkt,n-back,Taiwanese Face Memory Test (TFMT) | One-Back Working Memory Task | Dynamic Face Localizer Task,t3,Predicting Performances on Processing and Memorizing East Asian Faces from Brain Activities in Face-Selective Regions: A Neurocomputational Approach,G. Shyi; P. Cheng; S. Huang; C.-C. Lee; Felix F.-S. Tsai; Wan-Ting Hsieh; Becky Chen,Frontiers in Human Neuroscience
2vvd3BTGHTDt-SvNjWs8YQsTm,2vvd3BTGHTDt,SvNjWs8YQsTm,n-back,Modified Verbal 2-Back Task,All lure trials with increasing RTIS as parametric modulator,Automatic and effortful control of interference in working memory can be distinguished by unique behavioral and functional brain representations,G. Samrani; J. Persson,NeuroImage
2vvd3BTGHTDt-dqbVNg6LKSLo,2vvd3BTGHTDt,dqbVNg6LKSLo,n-back,Modified Verbal 2-Back Task,proximal lures (interference) > new items (no interference),Automatic and effortful control of interference in working memory can be distinguished by unique behavioral and functional brain representations,G. Samrani; J. Persson,NeuroImage
2vvd3BTGHTDt-erpTfhfmLtXW,2vvd3BTGHTDt,erpTfhfmLtXW,n-back,Modified Verbal 2-Back Task,3 back lures non-repeated > 3 back lures repeated,Automatic and effortful control of interference in working memory can be distinguished by unique behavioral and functional brain representations,G. Samrani; J. Persson,NeuroImage
2vvd3BTGHTDt-heTZnqw8bGSa,2vvd3BTGHTDt,heTZnqw8bGSa,n-back,Modified Verbal 2-Back Task,"High interference trials only, with increasing lure distance as parametric modulator",Automatic and effortful control of interference in working memory can be distinguished by unique behavioral and functional brain representations,G. Samrani; J. Persson,NeuroImage
32WaQpbqoK55-5u5RbCJyHhxs,32WaQpbqoK55,5u5RbCJyHhxs,n-back,2-back working memory task,tbl3,Distinct structural alterations independently contributing to working memory deficits and symptomatology in paranoid schizophrenia,"Zierhut KC, Schulte-Kemna A, Kaufmann J, Steiner J, Bogerts B, Schiltz K",Cortex; a journal devoted to the study of the nervous system and behavior
36oZsavVm8Qh-46idgZPmqUFC,36oZsavVm8Qh,46idgZPmqUFC,n-back,Approach-Avoidance Task | One-Back Recognition Task,25885,Task-invariant brain responses to the social value of faces.,"Todorov A, Said CP, Oosterhof NN, Engell AD",Journal of cognitive neuroscience
36oZsavVm8Qh-79zDd8ggw5rJ,36oZsavVm8Qh,79zDd8ggw5rJ,n-back,Approach-Avoidance Task | One-Back Recognition Task,25887,Task-invariant brain responses to the social value of faces.,"Todorov A, Said CP, Oosterhof NN, Engell AD",Journal of cognitive neuroscience
36oZsavVm8Qh-7vXY59rDChwm,36oZsavVm8Qh,7vXY59rDChwm,n-back,Approach-Avoidance Task | One-Back Recognition Task,25886,Task-invariant brain responses to the social value of faces.,"Todorov A, Said CP, Oosterhof NN, Engell AD",Journal of cognitive neuroscience
377zjDUXffXa-sw9y3pY3Saf6,377zjDUXffXa,sw9y3pY3Saf6,n-back,N-Back Working Memory Task,tbl0003,Deficits in executive function and suppression of default mode network in obesity,S. Syan; M. Owens; Ben Goodman; L. Epstein; D. Meyre; L. Sweet; J. Mackillop,NeuroImage: Clinical
39uJRfCjRmSM-4SwkLvmB6hRh,39uJRfCjRmSM,4SwkLvmB6hRh,n-back,n-back task,tbl3,The interaction of working memory and emotion in persons clinically at risk for psychosis: An fMRI pilot study,"Pauly K, Seiferth NY, Kellermann T, Ruhrmann S, Daumann B, Backes V, Klosterkotter J, Shah NJ, Schneider F, Kircher TT, Habel U",Schizophrenia research
39uJRfCjRmSM-5M3HAtZ83fTg,39uJRfCjRmSM,5M3HAtZ83fTg,n-back,n-back task,tbl2,The interaction of working memory and emotion in persons clinically at risk for psychosis: An fMRI pilot study,"Pauly K, Seiferth NY, Kellermann T, Ruhrmann S, Daumann B, Backes V, Klosterkotter J, Shah NJ, Schneider F, Kircher TT, Habel U",Schizophrenia research
39uJRfCjRmSM-69R9PewHVsfJ,39uJRfCjRmSM,69R9PewHVsfJ,n-back,n-back task,tbl4,The interaction of working memory and emotion in persons clinically at risk for psychosis: An fMRI pilot study,"Pauly K, Seiferth NY, Kellermann T, Ruhrmann S, Daumann B, Backes V, Klosterkotter J, Shah NJ, Schneider F, Kircher TT, Habel U",Schizophrenia research
3DrQiLvCRjy5-5CNE74NgFoAj,3DrQiLvCRjy5,5CNE74NgFoAj,n-back,n-back working memory task,T5,Reduced prefrontal activation during working and long-term memory tasks and impaired patient-reported cognition among cancer survivors post-chemotherapy compared with healthy controls,"Wang, Lei;Apple, Alexandra C;Schroeder, Matthew P;Ryals, Anthony J;Voss, Joel L;Gitelman, Darren;Sweet, Jerry J;Butt, Zeeshan A;Cella, David;Wagner, Lynne I",Cancer
3EFc6sfBs3UZ-6xZ43s4FDzuf,3EFc6sfBs3UZ,6xZ43s4FDzuf,n-back,n-back task,t0025,Increased superior frontal gyrus activation during working memory processing in psychosis: Significant relation to cumulative antipsychotic medication and to negative symptoms,"Vogel T, Smieskova R, Schmidt A, Walter A, Harrisberger F, Eckert A, Lang UE, Riecher-Rossler A, Graf M, Borgwardt S",Schizophrenia research
3FD97HdND5PN-52ErMPFwGjzg,3FD97HdND5PN,52ErMPFwGjzg,n-back,Random 2-back Task,Event-related-2,Age-related differences in brain activation during working memory updating: An fMRI study,Shuo Qin; C. Basak,Neuropsychologia
3FD97HdND5PN-65qwuzuyT3b6,3FD97HdND5PN,65qwuzuyT3b6,n-back,Random 2-back Task,Block-2,Age-related differences in brain activation during working memory updating: An fMRI study,Shuo Qin; C. Basak,Neuropsychologia
3FD97HdND5PN-6rQHwgBirpNX,3FD97HdND5PN,6rQHwgBirpNX,n-back,Random 2-back Task,Block,Age-related differences in brain activation during working memory updating: An fMRI study,Shuo Qin; C. Basak,Neuropsychologia
3FD97HdND5PN-9z7SopjFQmdF,3FD97HdND5PN,9z7SopjFQmdF,n-back,Random 2-back Task,Event-related,Age-related differences in brain activation during working memory updating: An fMRI study,Shuo Qin; C. Basak,Neuropsychologia
3LcQMNJnzR8f-322U2jdBxjhN,3LcQMNJnzR8f,322U2jdBxjhN,n-back,One-back Working Memory Task,t0020,Abnormal neural activity in partially remitted late-onset depression: An fMRI study of one-back working memory task,"Lee TW, Liu HL, Wai YY, Ko HJ, Lee SH",Psychiatry research
3LcQMNJnzR8f-3kT8CBBRuKXE,3LcQMNJnzR8f,3kT8CBBRuKXE,n-back,One-back Working Memory Task,t0015,Abnormal neural activity in partially remitted late-onset depression: An fMRI study of one-back working memory task,"Lee TW, Liu HL, Wai YY, Ko HJ, Lee SH",Psychiatry research
3LcQMNJnzR8f-5w4JqenPXQL6,3LcQMNJnzR8f,5w4JqenPXQL6,n-back,One-back Working Memory Task,t0010,Abnormal neural activity in partially remitted late-onset depression: An fMRI study of one-back working memory task,"Lee TW, Liu HL, Wai YY, Ko HJ, Lee SH",Psychiatry research
3MQh2ExLwQet-6zXhhjs2HwgX,3MQh2ExLwQet,6zXhhjs2HwgX,n-back,N-back Task,T4,Neural Correlates of Impulsive Aggressive Behavior in Subjects With a History of Alcohol Dependence,"Kose, Samet;Steinberg, Joel L;Moeller, F Gerard;Gowin, Joshua L;Zuniga, Edward;Kamdar, Zahra N;Schmitz, Joy M;Lane, Scott D",Behavioral neuroscience
3MkDC7X55fuk-FKSDqXsJDeeB,3MkDC7X55fuk,FKSDqXsJDeeB,n-back,N-back Task,14494,Intact working memory in non-manifesting LRRK2 carriers--an fMRI study.,"Thaler, Avner;Helmich, Rick C;Or-Borichev, Ayelet;van Nuenen, Bart F L;Shapira-Lichter, Irit;Gurevich, Tanya;Orr-Urtreger, Avi;Marder, Karen;Bressman, Susan;Bloem, Bastiaan R;Giladi, Nir;Hendler, Talma;Mirelman, Anat",The European journal of neuroscience
3MkDC7X55fuk-XMjfyiwQH2tA,3MkDC7X55fuk,XMjfyiwQH2tA,n-back,N-back Task,14495,Intact working memory in non-manifesting LRRK2 carriers--an fMRI study.,"Thaler, Avner;Helmich, Rick C;Or-Borichev, Ayelet;van Nuenen, Bart F L;Shapira-Lichter, Irit;Gurevich, Tanya;Orr-Urtreger, Avi;Marder, Karen;Bressman, Susan;Bloem, Bastiaan R;Giladi, Nir;Hendler, Talma;Mirelman, Anat",The European journal of neuroscience
